[09:23:05] [INFO] received Windows console close event; shutting log-core down
[10:42:48] [INFO] received Windows console close event; shutting log-core down
[10:45:17] [INFO] received Windows console close event; shutting log-core down
[10:52:10] [INFO] received Windows console close event; shutting log-core down
[11:44:19] [INFO] received Windows console close event; shutting log-core down
[11:45:20] [INFO] received Windows console close event; shutting log-core down
[15:14:29] [INFO] received Windows console close event; shutting log-core down
[15:26:34] [INFO] received Windows console close event; shutting log-core down
[15:31:18] [INFO] received Windows console close event; shutting log-core down
[18:14:33] [INFO] received Windows console close event; shutting log-core down
[18:19:18] [INFO] received Windows console close event; shutting log-core down
[19:02:20] [INFO] received Windows console close event; shutting log-core down
[19:11:15] [INFO] received Windows console close event; shutting log-core down
[19:11:20] [INFO] received Windows console close event; shutting log-core down
[19:16:50] [INFO] received Windows console close event; shutting log-core down
[19:18:46] [INFO] received Windows console close event; shutting log-core down
[11:09:51] [INFO] received Windows console close event; shutting log-core down
[12:59:02] [INFO] received Windows console close event; shutting log-core down
[13:00:29] [INFO] received Windows console close event; shutting log-core down
[13:06:37] [INFO] received Windows console close event; shutting log-core down
[13:15:13] [INFO] received Windows console close event; shutting log-core down
[13:21:47] [INFO] received Windows console close event; shutting log-core down
[16:39:04] [INFO] received Windows console close event; shutting log-core down
[16:41:58] [INFO] received Windows console close event; shutting log-core down
[17:23:28] [INFO] received Windows console close event; shutting log-core down
[17:33:44] [INFO] received Windows console close event; shutting log-core down
[18:13:45] [INFO] received Windows console close event; shutting log-core down
[18:32:46] [INFO] received Windows console close event; shutting log-core down
[18:35:21] [INFO] received Windows console close event; shutting log-core down
[18:47:57] [INFO] received Windows console close event; shutting log-core down
[19:33:56] [INFO] received Windows console close event; shutting log-core down
[19:35:06] [INFO] received Windows console close event; shutting log-core down
[19:37:00] [INFO] received Windows console close event; shutting log-core down
[19:39:02] [INFO] received Windows console close event; shutting log-core down
[20:20:06] [INFO] received Windows console close event; shutting log-core down
[20:22:50] [INFO] received Windows console close event; shutting log-core down
[08:29:47] [INFO] received Windows console close event; shutting log-core down
[12:52:13] [INFO] received Windows console close event; shutting log-core down
[12:53:39] [INFO] received Windows console close event; shutting log-core down
[15:15:40] [INFO] received Windows console close event; shutting log-core down
[19:54:11] [INFO] received Windows console close event; shutting log-core down
[19:54:34] [INFO] received Windows console close event; shutting log-core down
[19:57:56] [INFO] received Windows console close event; shutting log-core down
[20:04:40] [INFO] received Windows console close event; shutting log-core down
[20:06:47] [INFO] received Windows console close event; shutting log-core down
[20:07:43] [INFO] received Windows console close event; shutting log-core down
[20:09:39] [INFO] received Windows console close event; shutting log-core down
[20:11:29] [INFO] received Windows console close event; shutting log-core down
[20:13:22] [INFO] received Windows console close event; shutting log-core down
[20:17:43] [INFO] received Windows console close event; shutting log-core down
[20:21:43] [INFO] received Windows console close event; shutting log-core down
[20:31:23] [INFO] received Windows console close event; shutting log-core down
[21:14:54] [INFO] received Windows console close event; shutting log-core down
[19:23:03] [INFO] received Windows console close event; shutting log-core down
[19:25:26] [INFO] received Windows console close event; shutting log-core down
[19:28:06] [INFO] received Windows console close event; shutting log-core down
[19:49:38] [INFO] received Windows console close event; shutting log-core down
[19:59:31] [INFO] received Windows console close event; shutting log-core down
[20:09:53] [INFO] received Windows console close event; shutting log-core down
[20:16:35] [INFO] received Windows console close event; shutting log-core down
[20:23:41] [INFO] received Windows console close event; shutting log-core down
[20:24:43] [INFO] received Windows console close event; shutting log-core down
[20:27:30] [INFO] received Windows console close event; shutting log-core down
[20:29:01] [INFO] received Windows console close event; shutting log-core down
[20:40:01] [INFO] received Windows console close event; shutting log-core down
[20:43:30] [INFO] received Windows console close event; shutting log-core down
[20:44:34] [INFO] received Windows console close event; shutting log-core down
[21:01:22] [INFO] received Windows console close event; shutting log-core down
[21:10:57] [INFO] received Windows console close event; shutting log-core down
[21:16:21] [INFO] received Windows console close event; shutting log-core down
[21:20:17] [INFO] received Windows console close event; shutting log-core down
[21:20:42] [INFO] received Windows console close event; shutting log-core down
[19:05:54] [INFO] received Windows console close event; shutting log-core down
[19:07:07] [INFO] received Windows console close event; shutting log-core down
[19:15:16] [INFO] received Windows console close event; shutting log-core down
[20:01:28] [INFO] received Windows console close event; shutting log-core down
[20:03:54] [INFO] received Windows console close event; shutting log-core down
[20:08:44] [INFO] received Windows console close event; shutting log-core down
[12:17:25] [INFO] received Windows console close event; shutting log-core down
[18:59:47] [INFO] received Windows console close event; shutting log-core down
[19:10:02] [INFO] received Windows console close event; shutting log-core down
[19:13:24] [INFO] received Windows console close event; shutting log-core down
